what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663734677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663740800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663756620
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663756761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1554663771152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1554663771543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1554663771918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663775684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663775746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663783934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663786099
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1554663793021
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1554663793396
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1554663793537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663794412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663797271
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554663797950
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554663797997
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1554663809106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663856730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554664293936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554664296909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554664297112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554665014714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554665015902
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1554665016136
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554665016183
